"deaths_location","deaths_continent","month","population","people_vaccinated","new_cases","vaccinated_reinfection_rate","unvaccinated_reinfection_rate","reinfection_difference"
"Afghanistan","Asia","2022-11-01 00:00:00+05:30","41128772","10987211","92","24.58","67.42","42.85"
"Albania","Europe","2021-10-01 00:00:00+05:30","2842318","1040015","230","84.16","145.84","61.68"
"Albania","Europe","2021-11-01 00:00:00+05:30","2842318","1042227","770","282.35","487.65","205.31"
"Albania","Europe","2021-12-01 00:00:00+05:30","2842318","1102621","352","123.62","214.88","91.25"
"Albania","Europe","2022-11-01 00:00:00+05:30","2842318","1342243","30","14.17","15.83","1.67"
"Andorra","Europe","2021-12-01 00:00:00+05:30","79843","56628","0","0.00","0.00","0.00"
"Angola","Africa","2021-11-01 00:00:00+05:30","35588996","5802574","0","0.00","0.00","0.00"
"Anguilla","North America","2021-12-01 00:00:00+05:30","15877","9624","0","0.00","0.00","0.00"
"Antigua and Barbuda","North America","2021-10-01 00:00:00+05:30","93772","61921","0","0.00","0.00","0.00"
"Argentina","South America","2021-10-01 00:00:00+05:30","45510324","37944598","4044","1632.68","371.65","-1261.02"
"Argentina","South America","2021-11-01 00:00:00+05:30","45510324","37973530","2171","1131.05","277.28","-853.77"
"Argentina","South America","2021-12-01 00:00:00+05:30","45510324","37986950","1788","1266.26","363.07","-903.20"
"Argentina","South America","2022-10-01 00:00:00+05:30","45510324","41402532","0","0.00","0.00","0.00"
"Argentina","South America","2022-11-01 00:00:00+05:30","45510324","41402559","27119","8223.75","815.92","-7407.82"
"Argentina","South America","2022-12-01 00:00:00+05:30","45510324","41403784","0","0.00","0.00","0.00"
"Armenia","Asia","2021-11-01 00:00:00+05:30","2780472","344029","601","74.36","526.64","452.28"
"Armenia","Asia","2021-12-01 00:00:00+05:30","2780472","869750","133","41.60","91.40","49.79"
"Aruba","North America","2021-10-01 00:00:00+05:30","106459","83936","21","6.82","1.85","-4.97"
"Aruba","North America","2021-11-01 00:00:00+05:30","106459","83125","14","10.93","3.07","-7.86"
"Aruba","North America","2021-12-01 00:00:00+05:30","106459","83183","0","0.00","0.00","0.00"
"Aruba","North America","2022-10-01 00:00:00+05:30","106459","90106","44","12.40","2.27","-10.13"
"Aruba","North America","2022-11-01 00:00:00+05:30","106459","90016","0","0.00","0.00","0.00"
"Aruba","North America","2022-12-01 00:00:00+05:30","106459","90110","0","0.00","0.00","0.00"
"Australia","Oceania","2021-10-01 00:00:00+05:30","26177410","20196129","15281","3433.36","1660.31","-1773.05"
"Australia","Oceania","2021-11-01 00:00:00+05:30","26177410","20205275","0","0.00","0.00","0.00"
"Australia","Oceania","2021-12-01 00:00:00+05:30","26177410","20208813","13403","3449.01","1018.65","-2430.36"
"Australia","Oceania","2022-10-01 00:00:00+05:30","26177410","22234705","0","0.00","0.00","0.00"
"Austria","Europe","2021-10-01 00:00:00+05:30","8939617","6575246","4304","3165.67","1138.33","-2027.34"
"Austria","Europe","2021-12-01 00:00:00+05:30","8939617","6222838","13206","9192.65","4013.35","-5179.31"
"Austria","Europe","2022-11-01 00:00:00+05:30","8939617","6894329","3949","3045.51","903.49","-2142.02"
"Azerbaijan","Asia","2021-10-01 00:00:00+05:30","10358078","5114379","1315","564.67","601.33","36.67"
"Azerbaijan","Asia","2021-11-01 00:00:00+05:30","10358078","5117826","1876","647.35","691.65","44.30"
"Azerbaijan","Asia","2021-12-01 00:00:00+05:30","10358078","5120573","1774","584.61","619.06","34.45"
"Bahamas","North America","2021-10-01 00:00:00+05:30","409989","154135","4","1.50","2.50","0.99"
"Bahamas","North America","2022-11-01 00:00:00+05:30","409989","173843","6","2.54","3.46","0.91"
"Bahrain","Asia","2021-10-01 00:00:00+05:30","1472237","1192110","59","27.45","6.88","-20.57"
"Bahrain","Asia","2021-11-01 00:00:00+05:30","1472237","1192600","57","30.69","7.64","-23.05"
"Bahrain","Asia","2021-12-01 00:00:00+05:30","1472237","1192979","80","39.22","9.78","-29.44"
"Bahrain","Asia","2022-10-01 00:00:00+05:30","1472237","1240969","260","210.71","39.29","-171.41"
"Bahrain","Asia","2022-11-01 00:00:00+05:30","1472237","1240972","291","226.72","42.28","-184.44"
"Bahrain","Asia","2022-12-01 00:00:00+05:30","1472237","1240974","197","166.05","30.95","-135.11"
"Bangladesh","Asia","2021-10-01 00:00:00+05:30","171186368","49114910","481","84.52","273.48","188.97"
"Bangladesh","Asia","2021-11-01 00:00:00+05:30","171186368","50328975","599","98.84","319.16","220.32"
"Bangladesh","Asia","2021-12-01 00:00:00+05:30","171186368","36897472","543","117.04","425.96","308.92"
"Bangladesh","Asia","2022-10-01 00:00:00+05:30","171186368","149137913","17","14.81","2.19","-12.62"
"Bangladesh","Asia","2022-11-01 00:00:00+05:30","171186368","149138275","29","25.26","3.74","-21.53"
"Bangladesh","Asia","2022-12-01 00:00:00+05:30","171186368","149138533","19","16.55","2.45","-14.11"
"Barbados","North America","2021-10-01 00:00:00+05:30","281646","154444","301","108.91","99.09","-9.82"
"Barbados","North America","2021-11-01 00:00:00+05:30","281646","154481","411","147.37","131.63","-15.74"
"Barbados","North America","2021-12-01 00:00:00+05:30","281646","154524","335","132.91","117.42","-15.49"
"Belarus","Europe","2021-10-01 00:00:00+05:30","9534956","2468546","1998","517.27","1480.73","963.46"
"Belarus","Europe","2021-12-01 00:00:00+05:30","9534956","4064247","1837","783.02","1053.98","270.97"
"Belgium","Europe","2021-10-01 00:00:00+05:30","11655923","8906427","15262","8323.20","2644.47","-5678.74"
"Belgium","Europe","2021-11-01 00:00:00+05:30","11655923","8908545","13445","7061.03","2235.97","-4825.06"
"Belgium","Europe","2021-12-01 00:00:00+05:30","11655923","8908692","13113","6761.53","2135.47","-4626.06"
"Belgium","Europe","2022-10-01 00:00:00+05:30","11655923","9264317","1611","1047.16","270.50","-776.66"
"Belgium","Europe","2022-11-01 00:00:00+05:30","11655923","9264317","1567","817.26","211.07","-606.18"
"Belgium","Europe","2022-12-01 00:00:00+05:30","11655923","9264327","4950","1680.65","434.35","-1246.30"
"Belize","North America","2021-10-01 00:00:00+05:30","405285","229107","42","23.74","18.26","-5.49"
"Belize","North America","2021-12-01 00:00:00+05:30","405285","226060","167","93.15","73.85","-19.30"
"Belize","North America","2022-11-01 00:00:00+05:30","405285","251385","0","0.00","0.00","0.00"
"Benin","Africa","2021-12-01 00:00:00+05:30","13352864","1363471","0","0.00","0.00","0.00"
"Bermuda","North America","2021-10-01 00:00:00+05:30","64207","46054","2","1.43","0.57","-0.87"
"Bhutan","Asia","2021-10-01 00:00:00+05:30","782457","585479","0","0.00","0.00","0.00"
"Bolivia","South America","2021-10-01 00:00:00+05:30","12224114","5214522","1737","372.62","544.38","171.76"
"Bolivia","South America","2021-11-01 00:00:00+05:30","12224114","5221782","1746","386.95","562.38","175.43"
"Bolivia","South America","2021-12-01 00:00:00+05:30","12224114","5224163","1878","403.59","579.41","175.81"
"Botswana","Africa","2021-10-01 00:00:00+05:30","2630300","770879","0","0.00","0.00","0.00"
"Brazil","South America","2021-10-01 00:00:00+05:30","215313504","161412780","18172","8624.29","3280.71","-5343.58"
"Brazil","South America","2021-11-01 00:00:00+05:30","215313504","161690791","16451","10016.08","3683.42","-6332.66"
"Brazil","South America","2021-12-01 00:00:00+05:30","215313504","161743151","12273","7713.10","2742.90","-4970.19"
"Brazil","South America","2022-10-01 00:00:00+05:30","215313504","188116781","33935","16516.07","2395.43","-14120.64"
"Brazil","South America","2022-11-01 00:00:00+05:30","215313504","188118034","9406","2868.68","427.32","-2441.36"
"Brazil","South America","2022-12-01 00:00:00+05:30","215313504","188125449","39045","34114.71","4930.29","-29184.42"
"British Virgin Islands","North America","2021-12-01 00:00:00+05:30","31332","18137","0","0.00","0.00","0.00"
"Brunei","Asia","2021-10-01 00:00:00+05:30","449002","404806","381","116.46","37.88","-78.58"
"Brunei","Asia","2021-11-01 00:00:00+05:30","449002","404834","96","55.46","10.04","-45.42"
"Brunei","Asia","2021-12-01 00:00:00+05:30","449002","404940","305","95.10","29.24","-65.86"
"Brunei","Asia","2022-11-01 00:00:00+05:30","449002","450287","0","0.00","0.00","0.00"
"Bulgaria","Europe","2022-11-01 00:00:00+05:30","6781955","2104752","68","21.10","46.90","25.79"
"Burundi","Africa","2021-10-01 00:00:00+05:30","12889583","1085","10","0.00","10.00","10.00"
"Burundi","Africa","2021-11-01 00:00:00+05:30","12889583","1117","11","0.00","11.00","11.00"
"Burundi","Africa","2021-12-01 00:00:00+05:30","12889583","2812","80","0.01","46.49","46.48"
"Cambodia","Asia","2021-10-01 00:00:00+05:30","16767851","14198740","239","86.45","19.88","-66.57"
"Cambodia","Asia","2021-11-01 00:00:00+05:30","16767851","14200162","258","92.22","21.11","-71.11"
"Cambodia","Asia","2021-12-01 00:00:00+05:30","16767851","14201322","267","92.78","21.22","-71.56"
"Cambodia","Asia","2022-11-01 00:00:00+05:30","16767851","15220136","0","0.00","0.00","0.00"
"Cameroon","Africa","2021-11-01 00:00:00+05:30","27914542","424269","471","3.58","231.92","228.34"
"Cameroon","Africa","2021-12-01 00:00:00+05:30","27914542","432625","0","0.00","0.00","0.00"
"Canada","North America","2021-10-01 00:00:00+05:30","38454328","31066250","4128","2558.74","706.60","-1852.14"
"Canada","North America","2021-11-01 00:00:00+05:30","38454328","31107970","4258","2712.75","735.92","-1976.83"
"Canada","North America","2021-12-01 00:00:00+05:30","38454328","31153192","4756","2862.68","766.32","-2096.35"
"Canada","North America","2022-10-01 00:00:00+05:30","38454328","33469046","0","0.00","0.00","0.00"
"Canada","North America","2022-11-01 00:00:00+05:30","38454328","33472137","0","0.00","0.00","0.00"
"Canada","North America","2022-12-01 00:00:00+05:30","38454328","34473337","0","0.00","0.00","0.00"
"Cape Verde","Africa","2021-10-01 00:00:00+05:30","593162","295571","1","0.50","0.50","0.00"
"Cayman Islands","North America","2021-10-01 00:00:00+05:30","68722","58371","70","59.46","10.54","-48.91"
"Cayman Islands","North America","2021-12-01 00:00:00+05:30","68722","57357","0","0.00","0.00","0.00"
"Cayman Islands","North America","2022-11-01 00:00:00+05:30","68722","61818","0","0.00","0.00","0.00"
"Chad","Africa","2021-10-01 00:00:00+05:30","17723312","172432","0","0.00","0.00","0.00"
"Chad","Africa","2021-11-01 00:00:00+05:30","17723312","146669","0","0.00","0.00","0.00"
"Chad","Africa","2021-12-01 00:00:00+05:30","17723312","205259","0","0.00","0.00","0.00"
"Chad","Africa","2022-11-01 00:00:00+05:30","17723312","3750058","0","0.00","0.00","0.00"
"Chile","South America","2021-10-01 00:00:00+05:30","19603736","17019408","1771","1278.08","226.92","-1051.17"
"Chile","South America","2021-11-01 00:00:00+05:30","19603736","17023382","2164","1335.11","238.89","-1096.23"
"Chile","South America","2021-12-01 00:00:00+05:30","19603736","17023737","2733","1429.27","252.40","-1176.87"
"Chile","South America","2022-10-01 00:00:00+05:30","19603736","18081150","7523","4453.81","376.19","-4077.61"
"Chile","South America","2022-11-01 00:00:00+05:30","19603736","18081151","8225","3949.46","333.54","-3615.91"
"Chile","South America","2022-12-01 00:00:00+05:30","19603736","18081283","7235","3780.52","319.14","-3461.38"
"Colombia","South America","2021-10-01 00:00:00+05:30","51874028","27885125","1607","863.85","743.15","-120.70"
"Colombia","South America","2021-11-01 00:00:00+05:30","51874028","28016960","1587","857.13","729.87","-127.27"
"Colombia","South America","2021-12-01 00:00:00+05:30","51874028","28166163","1518","824.23","693.77","-130.46"
"Colombia","South America","2022-11-01 00:00:00+05:30","51874028","42856459","0","0.00","0.00","0.00"
"Comoros","Africa","2021-10-01 00:00:00+05:30","836783","282378","4","1.35","2.65","1.30"
"Congo","Africa","2021-10-01 00:00:00+05:30","5970430","423819","0","0.00","0.00","0.00"
"Costa Rica","North America","2021-11-01 00:00:00+05:30","5180836","3525260","1255","853.96","401.04","-452.91"
"Costa Rica","North America","2022-11-01 00:00:00+05:30","5180836","4541315","2448","2145.82","302.18","-1843.64"
"Cote d'Ivoire","Africa","2021-11-01 00:00:00+05:30","28160548","1970527","34","2.38","31.62","29.24"
"Cote d'Ivoire","Africa","2021-12-01 00:00:00+05:30","28160548","3306299","14","1.64","12.36","10.71"
"Croatia","Europe","2021-10-01 00:00:00+05:30","4030361","2224323","4966","1876.57","1786.10","-90.47"
"Croatia","Europe","2021-11-01 00:00:00+05:30","4030361","2226748","3797","1257.91","1094.59","-163.33"
"Croatia","Europe","2021-12-01 00:00:00+05:30","4030361","2227358","6987","1906.91","1765.42","-141.49"
"Croatia","Europe","2022-10-01 00:00:00+05:30","4030361","2319796","375","215.84","159.16","-56.69"
"Croatia","Europe","2022-11-01 00:00:00+05:30","4030361","2320464","373","130.29","96.04","-34.25"
"Croatia","Europe","2022-12-01 00:00:00+05:30","4030361","2320476","396","160.38","118.29","-42.09"
"Cuba","North America","2021-10-01 00:00:00+05:30","11212198","10217205","3442","1149.58","180.42","-969.15"
"Cuba","North America","2021-11-01 00:00:00+05:30","11212198","10218705","3604","1175.91","184.76","-991.14"
"Cuba","North America","2021-12-01 00:00:00+05:30","11212198","10218940","2945","988.23","152.10","-836.13"
"Cuba","North America","2022-10-01 00:00:00+05:30","11212198","10716796","34","17.68","0.82","-16.86"
"Cuba","North America","2022-11-01 00:00:00+05:30","11212198","10712522","8","4.30","0.20","-4.10"
"Cuba","North America","2022-12-01 00:00:00+05:30","11212198","10716984","19","6.05","0.28","-5.77"
"Curacao","North America","2021-10-01 00:00:00+05:30","191173","103299","15","3.77","3.23","-0.53"
"Curacao","North America","2021-11-01 00:00:00+05:30","191173","103448","23","7.55","6.45","-1.11"
"Curacao","North America","2022-10-01 00:00:00+05:30","191173","108591","18","10.22","7.78","-2.45"
"Curacao","North America","2022-11-01 00:00:00+05:30","191173","108593","0","0.00","0.00","0.00"
"Cyprus","Europe","2021-10-01 00:00:00+05:30","896007","598723","134","89.54","44.46","-45.08"
"Cyprus","Europe","2021-11-01 00:00:00+05:30","896007","633930","662","239.39","104.27","-135.12"
"Cyprus","Europe","2021-12-01 00:00:00+05:30","896007","599337","170","113.71","56.29","-57.43"
"Czechia","Europe","2021-10-01 00:00:00+05:30","10493990","6747459","14909","6303.50","3781.50","-2522.00"
"Czechia","Europe","2021-11-01 00:00:00+05:30","10493990","6749112","13930","5633.08","3370.26","-2262.82"
"Czechia","Europe","2021-12-01 00:00:00+05:30","10493990","6750420","10697","4456.01","2682.99","-1773.01"
"Czechia","Europe","2022-10-01 00:00:00+05:30","10493990","6974403","986","509.70","257.30","-252.40"
"Czechia","Europe","2022-11-01 00:00:00+05:30","10493990","6974405","5554","1447.98","731.35","-716.63"
"Czechia","Europe","2022-12-01 00:00:00+05:30","10493990","6974427","4195","1119.11","565.22","-553.89"
"Democratic Republic of Congo","Africa","2021-10-01 00:00:00+05:30","99010216","186741","788","1.49","786.51","785.03"
"Democratic Republic of Congo","Africa","2021-11-01 00:00:00+05:30","99010216","118759","17","0.02","16.98","16.96"
"Democratic Republic of Congo","Africa","2022-11-01 00:00:00+05:30","99010216","9145982","0","0.00","0.00","0.00"
"Denmark","Europe","2021-10-01 00:00:00+05:30","5882259","4586821","6985","5446.71","1538.29","-3908.42"
"Denmark","Europe","2021-12-01 00:00:00+05:30","5882259","4431410","2132","1606.15","525.85","-1080.29"
"Denmark","Europe","2022-11-01 00:00:00+05:30","5882259","4775384","884","717.66","166.34","-551.31"
"Djibouti","Africa","2022-10-01 00:00:00+05:30","1120851","247171","0","0.00","0.00","0.00"
"Dominica","North America","2021-10-01 00:00:00+05:30","72758","29064","32","12.78","19.22","6.43"
"Dominica","North America","2021-12-01 00:00:00+05:30","72758","28207","0","0.00","0.00","0.00"
"Dominican Republic","North America","2021-10-01 00:00:00+05:30","11228821","6910029","968","443.30","312.37","-130.93"
"Dominican Republic","North America","2021-11-01 00:00:00+05:30","11228821","6910906","1046","378.23","259.44","-118.80"
"Dominican Republic","North America","2021-12-01 00:00:00+05:30","11228821","6911177","1119","388.67","270.33","-118.34"
"Dominican Republic","North America","2022-10-01 00:00:00+05:30","11228821","7292533","0","0.00","0.00","0.00"
"Dominican Republic","North America","2022-11-01 00:00:00+05:30","11228821","7298149","520","123.04","66.29","-56.74"
"Dominican Republic","North America","2022-12-01 00:00:00+05:30","11228821","7298326","454","147.54","79.46","-68.08"
"Ecuador","South America","2021-10-01 00:00:00+05:30","18001002","13960603","670","234.50","81.17","-153.34"
"Ecuador","South America","2021-11-01 00:00:00+05:30","18001002","13972603","1681","450.19","133.81","-316.37"
"Ecuador","South America","2021-12-01 00:00:00+05:30","18001002","13979769","623","177.44","55.23","-122.20"
"Egypt","Africa","2021-10-01 00:00:00+05:30","110990096","21121564","921","175.27","745.73","570.46"
"Egypt","Africa","2021-11-01 00:00:00+05:30","110990096","29529394","822","218.70","603.30","384.61"
"El Salvador","North America","2021-10-01 00:00:00+05:30","6336393","4367938","0","0.00","0.00","0.00"
"El Salvador","North America","2021-11-01 00:00:00+05:30","6336393","4374244","0","0.00","0.00","0.00"
"El Salvador","North America","2021-12-01 00:00:00+05:30","6336393","4454031","0","0.00","0.00","0.00"
"England","Europe","2021-10-01 00:00:00+05:30","56550000","43008526",NULL,NULL,NULL,NULL
"England","Europe","2021-11-01 00:00:00+05:30","56550000","43032072",NULL,NULL,NULL,NULL
"England","Europe","2021-12-01 00:00:00+05:30","56550000","43051269",NULL,NULL,NULL,NULL
"England","Europe","2022-10-01 00:00:00+05:30","56550000","45370035",NULL,NULL,NULL,NULL
"England","Europe","2022-11-01 00:00:00+05:30","56550000","45370509",NULL,NULL,NULL,NULL
"England","Europe","2022-12-01 00:00:00+05:30","56550000","45371090",NULL,NULL,NULL,NULL
"Equatorial Guinea","Africa","2021-10-01 00:00:00+05:30","1674916","244586","0","0.00","0.00","0.00"
"Equatorial Guinea","Africa","2021-12-01 00:00:00+05:30","1674916","236045","0","0.00","0.00","0.00"
"Estonia","Europe","2021-10-01 00:00:00+05:30","1326064","833135","1354","557.47","363.53","-193.93"
"Estonia","Europe","2021-11-01 00:00:00+05:30","1326064","833417","1180","476.24","310.76","-165.48"
"Estonia","Europe","2021-12-01 00:00:00+05:30","1326064","833579","1256","533.88","357.12","-176.77"
"Estonia","Europe","2022-10-01 00:00:00+05:30","1326064","868361","89","53.01","27.99","-25.03"
"Estonia","Europe","2022-11-01 00:00:00+05:30","1326064","868363","212","73.93","39.07","-34.86"
"Estonia","Europe","2022-12-01 00:00:00+05:30","1326064","868372","184","64.34","34.00","-30.34"
"Eswatini","Africa","2021-10-01 00:00:00+05:30","1201680","227080","18","3.40","14.60","11.20"
"Eswatini","Africa","2021-11-01 00:00:00+05:30","1201680","259022","3","0.51","1.99","1.49"
"Eswatini","Africa","2022-11-01 00:00:00+05:30","1201680","507582","54","22.81","31.19","8.38"
"Ethiopia","Africa","2021-10-01 00:00:00+05:30","123379928","8911330","608","11.73","353.77","342.04"
"Ethiopia","Africa","2021-11-01 00:00:00+05:30","123379928","8954983","443","7.36","192.64","185.29"
"Ethiopia","Africa","2021-12-01 00:00:00+05:30","123379928","8976651","525","12.00","360.00","348.00"
"Faeroe Islands","Europe","2021-10-01 00:00:00+05:30","53117","38663","12","8.73","3.27","-5.47"
"Faeroe Islands","Europe","2021-11-01 00:00:00+05:30","53117","38719","13","9.48","3.52","-5.95"
"Fiji","Oceania","2021-12-01 00:00:00+05:30","929769","594872","63","40.31","22.69","-17.62"
"Fiji","Oceania","2022-10-01 00:00:00+05:30","929769","710419","0","0.00","0.00","0.00"
"Fiji","Oceania","2022-12-01 00:00:00+05:30","929769","711507","0","0.00","0.00","0.00"
"Finland","Europe","2021-10-01 00:00:00+05:30","5540745","4164888","597","448.76","148.24","-300.51"
"Finland","Europe","2022-10-01 00:00:00+05:30","5540745","4522820","2231","1821.13","409.87","-1411.26"
"Finland","Europe","2022-11-01 00:00:00+05:30","5540745","4522245","687","560.72","126.28","-434.43"
"France","Europe","2021-10-01 00:00:00+05:30","67813000","52715400","56609","18804.86","5476.14","-13328.72"
"France","Europe","2021-11-01 00:00:00+05:30","67813000","52735655","55020","18294.58","5316.42","-12978.15"
"France","Europe","2021-12-01 00:00:00+05:30","67813000","52741339","53647","17270.10","4991.90","-12278.20"
"France","Europe","2022-10-01 00:00:00+05:30","67813000","54634078","64801","36296.20","8764.80","-27531.41"
"France","Europe","2022-11-01 00:00:00+05:30","67813000","54634210","61482","26167.56","6315.77","-19851.79"
"France","Europe","2022-12-01 00:00:00+05:30","67813000","54634731","94753","44522.40","10756.94","-33765.46"
"French Polynesia","Oceania","2021-12-01 00:00:00+05:30","306292","154058","0","0.00","0.00","0.00"
"Gabon","Africa","2021-10-01 00:00:00+05:30","2388997","143136","257","15.40","241.60","226.20"
"Gambia","Africa","2021-11-01 00:00:00+05:30","2705995","242172","5","0.45","4.55","4.11"
"Georgia","Asia","2021-10-01 00:00:00+05:30","3744385","1257362","3454","912.68","2059.32","1146.63"
"Georgia","Asia","2021-11-01 00:00:00+05:30","3744385","1070966","4563","857.37","2189.13","1331.77"
"Georgia","Asia","2021-12-01 00:00:00+05:30","3744385","1264271","4445","1132.34","2551.16","1418.82"
"Germany","Europe","2021-10-01 00:00:00+05:30","83369840","61479136","57676","26952.37","10345.96","-16606.41"
"Germany","Europe","2021-11-01 00:00:00+05:30","83369840","61552332","51127","25219.87","9651.80","-15568.06"
"Germany","Europe","2021-12-01 00:00:00+05:30","83369840","61570178","49743","21752.07","8458.93","-13293.13"
"Germany","Europe","2022-10-01 00:00:00+05:30","83369840","64859168","36912","21827.96","6235.71","-15592.25"
"Germany","Europe","2022-11-01 00:00:00+05:30","83369840","64859261","144653","47722.34","13650.00","-34072.34"
"Germany","Europe","2022-12-01 00:00:00+05:30","83369840","64859604","143511","45374.19","12978.48","-32395.70"
"Ghana","Africa","2021-10-01 00:00:00+05:30","33475870","2352125","0","0.00","0.00","0.00"
"Ghana","Africa","2022-11-01 00:00:00+05:30","33475870","12163179","0","0.00","0.00","0.00"
"Gibraltar","Europe","2021-10-01 00:00:00+05:30","32677","41041","38","40.55","-8.05","-48.60"
"Gibraltar","Europe","2021-11-01 00:00:00+05:30","32677","41075","50","35.21","-6.88","-42.09"
"Gibraltar","Europe","2021-12-01 00:00:00+05:30","32677","40763","72","62.64","-12.14","-74.78"
"Greece","Europe","2021-10-01 00:00:00+05:30","10384972","7216048","8969","3672.32","1875.68","-1796.63"
"Greece","Europe","2021-11-01 00:00:00+05:30","10384972","7226225","7089","2995.65","1503.02","-1492.63"
"Greece","Europe","2021-12-01 00:00:00+05:30","10384972","7255971","6771","3073.40","1553.26","-1520.14"
"Greece","Europe","2022-10-01 00:00:00+05:30","10384972","7931801","51427","13088.27","4054.07","-9034.20"
"Greece","Europe","2022-11-01 00:00:00+05:30","10384972","7931803","0","0.00","0.00","0.00"
"Greece","Europe","2022-12-01 00:00:00+05:30","10384972","7931824","51824","13194.03","4080.64","-9113.39"
"Greenland","North America","2021-10-01 00:00:00+05:30","56494","40351","28","20.00","8.00","-12.00"
"Greenland","North America","2021-11-01 00:00:00+05:30","56494","39951","0","0.00","0.00","0.00"
"Greenland","North America","2021-12-01 00:00:00+05:30","56494","39960","0","0.00","0.00","0.00"
"Grenada","North America","2021-10-01 00:00:00+05:30","125459","40930","0","0.00","0.00","0.00"
"Grenada","North America","2021-12-01 00:00:00+05:30","125459","39254","0","0.00","0.00","0.00"
"Grenada","North America","2022-11-01 00:00:00+05:30","125459","44180","0","0.00","0.00","0.00"
"Guatemala","North America","2021-10-01 00:00:00+05:30","17843914","6233673","1991","228.84","574.16","345.31"
"Guatemala","North America","2021-11-01 00:00:00+05:30","17843914","6242145","994","219.93","496.40","276.47"
"Guatemala","North America","2021-12-01 00:00:00+05:30","17843914","6248164","754","164.58","353.75","189.17"
"Guatemala","North America","2022-11-01 00:00:00+05:30","17843914","8843207","479","237.39","241.61","4.23"
"Guinea","Africa","2021-10-01 00:00:00+05:30","13859349","1588076","6","0.34","2.66","2.31"
"Guinea","Africa","2021-11-01 00:00:00+05:30","13859349","1685746","0","0.00","0.00","0.00"
"Guinea","Africa","2021-12-01 00:00:00+05:30","13859349","1687180","15","0.91","6.59","5.67"
"Guinea-Bissau","Africa","2021-11-01 00:00:00+05:30","2105580","289658","60","8.25","51.75","43.49"
"Guinea-Bissau","Africa","2021-12-01 00:00:00+05:30","2105580","111131","2","0.11","1.89","1.79"
"Guyana","South America","2021-10-01 00:00:00+05:30","808727","388444","77","36.98","40.02","3.03"
"Guyana","South America","2021-11-01 00:00:00+05:30","808727","389349","48","23.11","24.89","1.78"
"Guyana","South America","2021-12-01 00:00:00+05:30","808727","390110","134","61.96","70.04","8.07"
"Haiti","North America","2021-10-01 00:00:00+05:30","11585003","69379","84","0.50","83.50","82.99"
"Haiti","North America","2021-11-01 00:00:00+05:30","11585003","97950","36","0.30","35.70","35.39"
"Haiti","North America","2021-12-01 00:00:00+05:30","11585003","104920","59","0.53","58.47","57.93"
"Honduras","North America","2021-12-01 00:00:00+05:30","10432858","3957957","86","32.63","53.37","20.75"
"Hong Kong","Asia","2021-10-01 00:00:00+05:30","7488863","4801578",NULL,NULL,NULL,NULL
"Hong Kong","Asia","2021-11-01 00:00:00+05:30","7488863","4806769",NULL,NULL,NULL,NULL
"Hong Kong","Asia","2021-12-01 00:00:00+05:30","7488863","4809781",NULL,NULL,NULL,NULL
"Hong Kong","Asia","2022-10-01 00:00:00+05:30","7488863","6903428",NULL,NULL,NULL,NULL
"Hong Kong","Asia","2022-11-01 00:00:00+05:30","7488863","6903638",NULL,NULL,NULL,NULL
"Hong Kong","Asia","2022-12-01 00:00:00+05:30","7488863","6903935",NULL,NULL,NULL,NULL
"Hungary","Europe","2021-10-01 00:00:00+05:30","9967304","5986727","8434","2532.88","1684.12","-848.77"
"Hungary","Europe","2021-11-01 00:00:00+05:30","9967304","5992142","8394","3129.91","2090.09","-1039.81"
"Hungary","Europe","2021-12-01 00:00:00+05:30","9967304","6190822","455","134.98","92.52","-42.46"
"Hungary","Europe","2022-11-01 00:00:00+05:30","9967304","6418580","0","0.00","0.00","0.00"
"Iceland","Europe","2021-11-01 00:00:00+05:30","372903","283668","191","145.29","45.71","-99.59"
"India","Asia","2021-10-01 00:00:00+05:30","1417173120","811443992","18166","6554.16","6157.50","-396.66"
"India","Asia","2021-11-01 00:00:00+05:30","1417173120","815387998","18132","6755.33","6316.33","-439.00"
"India","Asia","2021-12-01 00:00:00+05:30","1417173120","816708250","14313","6017.38","5516.96","-500.42"
"India","Asia","2022-10-01 00:00:00+05:30","1417173120","1027083897","2424","881.41","335.25","-546.16"
"India","Asia","2022-11-01 00:00:00+05:30","1417173120","1027087217","1957","717.70","272.97","-444.74"
"India","Asia","2022-12-01 00:00:00+05:30","1417173120","1027088793","2139","756.11","287.56","-468.55"
"Indonesia","Asia","2021-10-01 00:00:00+05:30","275501344","145085912","894","215.89","306.11","90.23"
"Indonesia","Asia","2021-11-01 00:00:00+05:30","275501344","145910019","620","182.95","244.71","61.76"
"Indonesia","Asia","2021-12-01 00:00:00+05:30","275501344","146489638","1261","245.86","361.81","115.95"
"Iran","Asia","2021-10-01 00:00:00+05:30","88550568","45075271","7654","3896.15","3757.85","-138.30"
"Iran","Asia","2021-12-01 00:00:00+05:30","88550568","58569046","1681","1111.85","569.15","-542.69"
"Iraq","Asia","2021-12-01 00:00:00+05:30","44496124","8009447","250","45.00","205.00","160.00"
"Iraq","Asia","2022-11-01 00:00:00+05:30","44496124","11323818","0","0.00","0.00","0.00"
"Iraq","Asia","2022-12-01 00:00:00+05:30","44496124","11181117","0","0.00","0.00","0.00"
"Ireland","Europe","2021-10-01 00:00:00+05:30","5023108","3919096","4126","2396.87","699.46","-1697.41"
