"deaths_location","deaths_continent","month","population","people_vaccinated","new_cases","vaccinated_reinfection_rate","unvaccinated_reinfection_rate","reinfection_difference"
"Portugal","Europe","2021-10-01 00:00:00+05:30","10270857","9253486","3066","2762.30","303.70","-2458.60"
"Portugal","Europe","2021-12-01 00:00:00+05:30","10270857","9159319","1515","1351.04","163.96","-1187.09"
"Portugal","Europe","2022-11-01 00:00:00+05:30","10270857","9778253","944","898.72","45.28","-853.45"
"Qatar","Asia","2022-11-01 00:00:00+05:30","2695131","2825344","839","879.54","-40.54","-920.07"
"Qatar","Asia","2022-12-01 00:00:00+05:30","2695131","2849572","359","379.57","-20.57","-400.14"
"Russia","Europe","2021-10-01 00:00:00+05:30","144713312","69112801","38058","13351.59","19174.41","5822.83"
"Russia","Europe","2021-11-01 00:00:00+05:30","144713312","69738785","40759","13813.55","19671.78","5858.23"
"Russia","Europe","2021-12-01 00:00:00+05:30","144713312","70013461","40123","13612.33","19135.00","5522.66"
"Russia","Europe","2022-10-01 00:00:00+05:30","144713312","85355046","15661","9237.20","6423.80","-2813.39"
"Russia","Europe","2022-11-01 00:00:00+05:30","144713312","87328115","7096","3793.16","2531.84","-1261.31"
"Russia","Europe","2022-12-01 00:00:00+05:30","144713312","85364255","15640","9225.81","6414.19","-2811.61"
"Rwanda","Africa","2021-10-01 00:00:00+05:30","13776702","4496161","114","12.66","55.34","42.67"
"Rwanda","Africa","2021-11-01 00:00:00+05:30","13776702","4774596","19","6.58","12.42","5.83"
"Saint Kitts and Nevis","North America","2021-10-01 00:00:00+05:30","47681","27358","0","0.00","0.00","0.00"
"Saint Kitts and Nevis","North America","2021-12-01 00:00:00+05:30","47681","26215","5","2.75","2.25","-0.50"
"Saint Lucia","North America","2021-10-01 00:00:00+05:30","179872","55063","11","2.67","6.33","3.65"
"Saint Lucia","North America","2021-11-01 00:00:00+05:30","179872","52439","9","2.62","6.38","3.75"
"Saint Lucia","North America","2021-12-01 00:00:00+05:30","179872","52563","34","8.63","22.37","13.73"
"Saint Vincent and the Grenadines","North America","2021-10-01 00:00:00+05:30","103959","32104","18","5.56","12.44","6.88"
"Saint Vincent and the Grenadines","North America","2021-11-01 00:00:00+05:30","103959","28255","53","14.40","38.60","24.19"
"Saint Vincent and the Grenadines","North America","2021-12-01 00:00:00+05:30","103959","28278","13","3.54","9.46","5.93"
"Saint Vincent and the Grenadines","North America","2022-11-01 00:00:00+05:30","103959","37312","0","0.00","0.00","0.00"
"Samoa","Oceania","2022-10-01 00:00:00+05:30","222390","191084","0","0.00","0.00","0.00"
"San Marino","Europe","2021-12-01 00:00:00+05:30","33690","24282","46","33.15","12.85","-20.31"
"Sao Tome and Principe","Africa","2021-10-01 00:00:00+05:30","227393","81125","1","0.36","0.64","0.29"
"Saudi Arabia","Asia","2021-10-01 00:00:00+05:30","36408824","24757408","49","28.71","14.29","-14.43"
"Saudi Arabia","Asia","2021-11-01 00:00:00+05:30","36408824","24766927","59","32.18","16.15","-16.03"
"Saudi Arabia","Asia","2021-12-01 00:00:00+05:30","36408824","24786057","58","34.25","17.08","-17.16"
"Scotland","Europe","2021-10-01 00:00:00+05:30","5466000","4361197",NULL,NULL,NULL,NULL
"Scotland","Europe","2021-11-01 00:00:00+05:30","5466000","4362468",NULL,NULL,NULL,NULL
"Scotland","Europe","2021-12-01 00:00:00+05:30","5466000","4326637",NULL,NULL,NULL,NULL
"Serbia","Europe","2021-12-01 00:00:00+05:30","6871547","3288762","5700","1584.36","1920.14","335.79"
"Seychelles","Africa","2021-10-01 00:00:00+05:30","107135","82117","25","19.16","5.84","-13.32"
