"deaths_location","week_start","avg_weekly_cases","avg_weekly_deaths"
"Belarus","2021-02-08","1438.57","9.57"
"Bosnia and Herzegovina","2021-02-08","276.86","14.43"
"Saudi Arabia","2021-02-08","349.86","4.43"
"Liechtenstein","2021-02-08","2.57","0.29"
"Tunisia","2021-02-08","904.00","49.43"
"Cameroon","2021-02-08","183.86","3.71"
"North Macedonia","2021-02-08","322.00","9.29"
"Niger","2021-02-08","13.14","0.57"
"Poland","2021-02-08","5528.14","245.29"
"Jamaica","2021-02-08","284.14","2.14"
"Czechia","2021-02-08","7690.86","132.86"
"Colombia","2021-02-08","6072.71","256.14"
"Oceania","2021-02-08","31.86","0.43"
"Russia","2021-02-08","14943.14","495.00"
"Croatia","2021-02-08","333.29","22.14"
"Japan","2021-02-08","1541.71","82.00"
"Egypt","2021-02-08","585.14","47.29"
"Georgia","2021-02-08","504.71","9.86"
"Belize","2021-02-08","17.29","1.00"
"Myanmar","2021-02-08","42.43","3.00"
"Sweden","2021-02-08","3011.86","29.43"
"Cape Verde","2021-02-08","45.71","0.57"
"Ireland","2021-02-08","851.00","40.14"
"Malta","2021-02-08","159.00","1.57"
"Asia","2021-02-08","65036.00","905.43"
"Uruguay","2021-02-08","503.57","7.00"
"Belgium","2021-02-08","1806.14","40.14"
"Lower middle income","2021-02-08","46358.71","969.14"
"Zimbabwe","2021-02-08","88.14","11.71"
"Kuwait","2021-02-08","981.00","4.86"
"Latvia","2021-02-08","700.86","16.00"
"Saint Lucia","2021-02-08","96.29","0.71"
"Dominican Republic","2021-02-08","963.86","18.71"
"Montenegro","2021-02-08","536.29","7.00"
"Sudan","2021-02-08","33.71","2.71"
"Estonia","2021-02-08","643.86","4.86"
"Burkina Faso","2021-02-08","47.00","0.57"
"Guam","2021-02-08","6.43","0.14"
"Algeria","2021-02-08","237.29","3.43"
"China","2021-02-08","31.43","1.00"
"Panama","2021-02-08","785.43","24.14"
"Cote d'Ivoire","2021-02-08","188.14","1.57"
"Suriname","2021-02-08","22.71","1.14"
"Morocco","2021-02-08","452.71","11.29"
"Oman","2021-02-08","225.86","1.00"
"Kenya","2021-02-08","157.43","2.71"
"Bonaire Sint Eustatius and Saba","2021-02-08","0.86","0.14"
"Syria","2021-02-08","58.86","4.00"
"Netherlands","2021-02-08","3432.43","62.43"
"Angola","2021-02-08","38.14","2.29"
"South Korea","2021-02-08","383.57","7.29"
"Germany","2021-02-08","7166.71","239.71"
"Benin","2021-02-08","52.43","0.14"
"Bolivia","2021-02-08","1312.57","60.00"
"Mozambique","2021-02-08","762.71","10.57"
"Guadeloupe","2021-02-08","42.71","0.29"
"Malaysia","2021-02-08","3116.71","14.43"
"Gibraltar","2021-02-08","6.00","0.57"
"Cyprus","2021-02-08","106.57","1.57"
"Nigeria","2021-02-08","917.43","14.29"
"Costa Rica","2021-02-08","392.71","6.00"
"Brazil","2021-02-08","45470.00","1065.00"
"Mauritania","2021-02-08","24.71","0.43"
"Togo","2021-02-08","55.29","0.14"
"Paraguay","2021-02-08","815.43","16.14"
"Bangladesh","2021-02-08","361.43","9.86"
"Greece","2021-02-08","1179.00","21.71"
"Low income","2021-02-08","3508.00","65.29"
"Lesotho","2021-02-08","83.57","6.71"
"Azerbaijan","2021-02-08","133.29","2.86"
"French Guiana","2021-02-08","22.86","0.14"
"Antigua and Barbuda","2021-02-08","21.43","0.29"
"Luxembourg","2021-02-08","150.86","1.71"
"Democratic Republic of Congo","2021-02-08","99.43","1.57"
"Kosovo","2021-02-08","298.00","3.43"
"Turks and Caicos Islands","2021-02-08","25.57","0.43"
"San Marino","2021-02-08","25.29","0.43"
"Europe","2021-02-08","126543.71","3980.14"
"Andorra","2021-02-08","36.71","0.29"
"Moldova","2021-02-08","794.57","15.71"
"South America","2021-02-08","73434.00","2316.57"
"Spain","2021-02-08","11821.43","391.43"
"Liberia","2021-02-08","2.29","0.29"
"Albania","2021-02-08","1107.57","14.00"
"Haiti","2021-02-08","33.86","0.14"
"United States","2021-02-08","95796.00","2834.00"
"Armenia","2021-02-08","154.14","3.43"
"Indonesia","2021-02-08","8518.71","232.43"
"Curacao","2021-02-08","5.14","0.14"
"Serbia","2021-02-08","1877.29","14.57"
"Turkey","2021-02-08","7872.86","98.86"
"Seychelles","2021-02-08","55.43","0.29"
"Iran","2021-02-08","7357.57","67.29"
"United Kingdom","2021-02-08","13430.57","722.86"
"Pakistan","2021-02-08","1213.86","51.71"
"United States Virgin Islands","2021-02-08","10.71","0.14"
"Guyana","2021-02-08","42.00","1.00"
"South Sudan","2021-02-08","131.57","1.00"
"French Polynesia","2021-02-08","11.14","0.29"
"Namibia","2021-02-08","139.71","2.29"
"Finland","2021-02-08","356.43","2.29"
"Bahamas","2021-02-08","12.71","0.43"
"Iraq","2021-02-08","2030.29","7.57"
"United Arab Emirates","2021-02-08","3171.86","12.43"
"Monaco","2021-02-08","16.14","0.14"
"Romania","2021-02-08","2392.57","73.71"
"Honduras","2021-02-08","824.43","22.00"
"South Korea","2021-02-15","493.71","5.00"
"Reunion","2021-02-15","93.57","0.14"
"Bahrain","2021-02-15","733.14","3.14"
"Qatar","2021-02-15","451.86","0.14"
"Bangladesh","2021-02-15","394.14","10.71"
"Azerbaijan","2021-02-15","141.29","2.86"
"Barbados","2021-02-15","104.29","1.00"
"Puerto Rico","2021-02-15","179.43","4.14"
"Belarus","2021-02-15","1423.00","9.00"
"Belgium","2021-02-15","2097.14","35.86"
"Portugal","2021-02-15","2172.86","100.14"
"Belize","2021-02-15","13.29","0.14"
"Benin","2021-02-15","83.29","1.29"
"Bolivia","2021-02-15","796.86","40.43"
"Poland","2021-02-15","7116.14","194.57"
"Venezuela","2021-02-15","407.86","5.86"
"Bosnia and Herzegovina","2021-02-15","343.86","14.71"
"Austria","2021-02-15","1586.29","31.00"
"Slovakia","2021-02-15","2065.86","88.57"
"Botswana","2021-02-15","25.86","7.86"
"Philippines","2021-02-15","1713.29","80.14"
"Brazil","2021-02-15","45174.43","1039.43"
"Peru","2021-02-15","6967.86","701.71"
"Bulgaria","2021-02-15","989.00","33.00"
"Romania","2021-02-15","2455.00","67.14"
"Burkina Faso","2021-02-15","26.14","0.14"
"Slovenia","2021-02-15","750.71","6.57"
"Paraguay","2021-02-15","1012.29","17.43"
"Cameroon","2021-02-15","152.57","3.29"
"Uruguay","2021-02-15","507.00","5.14"
"Canada","2021-02-15","2897.14","58.00"
"Australia","2021-02-15","4.00","0.14"
"Cape Verde","2021-02-15","42.71","0.57"
"Panama","2021-02-15","622.00","16.57"
"Chad","2021-02-15","24.57","0.71"
"Yemen","2021-02-15","3.00","0.29"
"Chile","2021-02-15","3350.00","75.86"
"Libya","2021-02-15","349.14","10.57"
"Palestine","2021-02-15","915.86","6.71"
"China","2021-02-15","23.43","0.57"
"Upper middle income","2021-02-15","115481.00","3825.43"
"Colombia","2021-02-15","4547.43","187.86"
"Seychelles","2021-02-15","62.29","0.29"
"Pakistan","2021-02-15","1174.43","41.00"
"Saudi Arabia","2021-02-15","325.86","4.14"
"Comoros","2021-02-15","22.57","2.14"
"Congo","2021-02-15","29.43","0.57"
"Asia","2021-02-15","65518.71","847.86"
"Costa Rica","2021-02-15","355.86","7.00"
"Oman","2021-02-15","267.43","1.43"
"Cote d'Ivoire","2021-02-15","147.14","1.57"
"Croatia","2021-02-15","318.00","17.29"
"Somalia","2021-02-15","113.86","6.57"
"United States","2021-02-15","67640.71","2061.71"
"Cuba","2021-02-15","857.29","4.29"
"Oceania","2021-02-15","43.14","0.57"
"Russia","2021-02-15","13263.29","452.43"
"Cyprus","2021-02-15","109.00","1.29"
"Aruba","2021-02-15","30.71","0.29"
"Czechia","2021-02-15","9426.14","156.00"
"Norway","2021-02-15","281.86","2.14"
"Democratic Republic of Congo","2021-02-15","121.43","1.14"
"United Kingdom","2021-02-15","11452.71","552.00"
"Denmark","2021-02-15","430.57","7.00"
"South Africa","2021-02-15","1757.71","159.86"
"North Macedonia","2021-02-15","318.43","10.57"
"Dominican Republic","2021-02-15","801.00","13.71"
"Armenia","2021-02-15","176.43","3.29"
"Ecuador","2021-02-15","1081.43","34.86"
"North America","2021-02-15","81578.29","2980.00"
"Egypt","2021-02-15","620.14","51.86"
"United Arab Emirates","2021-02-15","3224.29","15.29"
"Zambia","2021-02-15","777.14","10.86"
"El Salvador","2021-02-15","159.71","8.29"
"Equatorial Guinea","2021-02-15","14.86","0.29"
"Nigeria","2021-02-15","841.29","12.00"
"Estonia","2021-02-15","738.71","5.71"
"Niger","2021-02-15","6.14","0.14"
"Eswatini","2021-02-15","39.43","2.14"
"Ethiopia","2021-02-15","879.00","12.86"
"Nicaragua","2021-02-15","6.00","0.14"
"Rwanda","2021-02-15","103.00","1.57"
"Europe","2021-02-15","126038.29","3360.71"
"New Zealand","2021-02-15","3.00","0.14"
"Argentina","2021-02-15","6098.14","113.86"
"Ukraine","2021-02-15","4759.00","110.43"
"European Union","2021-02-15","88389.71","2136.00"
"South America","2021-02-15","69989.71","2223.57"
"Netherlands","2021-02-15","3727.14","59.00"
"Finland","2021-02-15","491.71","3.14"
"France","2021-02-15","17702.57","354.57"
"Nepal","2021-02-15","101.86","1.00"
"Uganda","2021-02-15","22.43","0.57"
"Antigua and Barbuda","2021-02-15","24.43","0.29"
"French Guiana","2021-02-15","10.43","0.43"
"Turks and Caicos Islands","2021-02-15","23.57","0.29"
"French Polynesia","2021-02-15","11.86","0.29"
"Namibia","2021-02-15","218.71","2.00"
"Gabon","2021-02-15","139.43","0.29"
"Gambia","2021-02-15","20.00","0.86"
"Senegal","2021-02-15","284.14","7.71"
"Georgia","2021-02-15","399.71","11.86"
"Myanmar","2021-02-15","21.29","1.00"
"Afghanistan","2021-02-15","16.00","0.71"
"Saint Lucia","2021-02-15","53.29","0.71"
"Germany","2021-02-15","7581.43","212.71"
"Mozambique","2021-02-15","788.14","8.86"
"Turkey","2021-02-15","7425.71","86.57"
"Ghana","2021-02-15","499.57","3.29"
"Gibraltar","2021-02-15","2.29","0.57"
"Greece","2021-02-15","1064.57","24.14"
"Morocco","2021-02-15","401.86","12.57"
"Angola","2021-02-15","24.29","1.00"
"Montenegro","2021-02-15","443.86","7.43"
"Tunisia","2021-02-15","734.14","35.29"
"Guatemala","2021-02-15","551.43","22.14"
"Serbia","2021-02-15","2089.86","15.29"
"Guinea","2021-02-15","64.14","0.29"
"Monaco","2021-02-15","15.71","0.14"
"Guinea-Bissau","2021-02-15","27.29","0.14"
"Moldova","2021-02-15","920.00","17.14"
"Guyana","2021-02-15","25.14","0.43"
"High income","2021-02-15","187221.57","5032.57"
"South Sudan","2021-02-15","167.29","1.71"
"Trinidad and Tobago","2021-02-15","4.14","0.29"
"Honduras","2021-02-15","721.86","18.14"
"Mexico","2021-02-15","6162.29","760.14"
"Hungary","2021-02-15","2223.00","84.71"
"Algeria","2021-02-15","178.71","3.29"
"Togo","2021-02-15","63.57","0.14"
"Mayotte","2021-02-15","322.43","2.00"
"India","2021-02-15","12387.29","94.29"
"Indonesia","2021-02-15","8740.71","186.57"
"Mauritania","2021-02-15","16.86","0.86"
"Thailand","2021-02-15","120.57","0.43"
"Iran","2021-02-15","7886.86","75.14"
"Spain","2021-02-15","7573.43","265.14"
"Albania","2021-02-15","1010.57","15.00"
"Iraq","2021-02-15","3303.14","11.57"
"Ireland","2021-02-15","811.43","27.14"
"Malta","2021-02-15","157.57","1.57"
"Mali","2021-02-15","9.43","0.71"
"Zimbabwe","2021-02-15","94.86","4.86"
"Israel","2021-02-15","3689.43","29.29"
"Syria","2021-02-15","46.14","3.00"
"Italy","2021-02-15","12139.57","304.29"
"Maldives","2021-02-15","134.43","0.29"
"Sao Tome and Principe","2021-02-15","13.71","0.29"
"Jamaica","2021-02-15","299.14","2.71"
"Sri Lanka","2021-02-15","620.71","6.86"
"Malaysia","2021-02-15","2757.14","13.29"
"Japan","2021-02-15","1402.14","72.14"
"Switzerland","2021-02-15","990.86","13.86"
"Africa","2021-02-15","11042.00","397.57"
"Jersey","2021-02-15","1.86","0.14"
"Jordan","2021-02-15","2144.00","14.14"
"Malawi","2021-02-15","236.00","8.86"
"Kazakhstan","2021-02-15","844.57","8.71"
"Madagascar","2021-02-15","33.29","0.71"
"Kenya","2021-02-15","171.57","3.14"
"Kosovo","2021-02-15","269.57","3.86"
"Luxembourg","2021-02-15","179.29","2.43"
"Suriname","2021-02-15","10.86","0.29"
"Kuwait","2021-02-15","917.00","5.86"
"Kyrgyzstan","2021-02-15","58.57","2.43"
"Sudan","2021-02-15","26.86","1.86"
"Latvia","2021-02-15","687.57","13.00"
"Lower middle income","2021-02-15","47428.57","886.86"
"Sweden","2021-02-15","3317.86","25.57"
"Lebanon","2021-02-15","2339.86","48.00"
"Lithuania","2021-02-15","477.14","14.43"
"Lesotho","2021-02-15","70.86","7.86"
"Low income","2021-02-15","3645.14","62.71"
"World","2021-02-15","354210.14","9810.29"
"San Marino","2021-02-22","36.29","0.29"
"Guinea","2021-02-22","85.29","0.43"
"Ireland","2021-02-22","693.00","21.43"
"Cuba","2021-02-22","811.00","3.86"
"European Union","2021-02-22","101474.14","1971.29"
"Ukraine","2021-02-22","6199.00","125.57"
"Lower middle income","2021-02-22","52390.43","897.71"
"Kazakhstan","2021-02-22","815.00","9.29"
"Democratic Republic of Congo","2021-02-22","109.71","1.00"
"Guyana","2021-02-22","22.29","0.86"
"Monaco","2021-02-22","11.71","0.29"
"Reunion","2021-02-22","122.00","0.57"
"Zambia","2021-02-22","615.43","9.29"
"United Kingdom","2021-02-22","8783.14","377.71"
"Malta","2021-02-22","227.14","1.57"
"Bolivia","2021-02-22","1030.71","31.29"
"Jersey","2021-02-22","0.57","0.14"
"Slovenia","2021-02-22","775.86","8.57"
"Kosovo","2021-02-22","403.00","3.43"
"Bosnia and Herzegovina","2021-02-22","520.14","13.29"
"Austria","2021-02-22","1925.86","32.14"
"China","2021-02-22","31.43","0.14"
"Iraq","2021-02-22","3927.29","19.71"
"France","2021-02-22","17989.00","309.29"
"Iran","2021-02-22","8154.00","81.57"
"Low income","2021-02-22","3331.29","57.43"
"Malawi","2021-02-22","181.43","5.29"
"Somalia","2021-02-22","157.43","5.29"
"Ghana","2021-02-22","443.43","3.86"
"Ethiopia","2021-02-22","885.86","11.86"
"Sri Lanka","2021-02-22","463.29","3.71"
"Equatorial Guinea","2021-02-22","42.43","0.43"
"Romania","2021-02-22","3126.86","70.29"
"Norway","2021-02-22","420.00","2.14"
"Saudi Arabia","2021-02-22","338.57","4.43"
"Argentina","2021-02-22","6385.86","118.71"
"United States","2021-02-22","66535.86","1908.57"
"Sao Tome and Principe","2021-02-22","29.71","1.00"
"Sweden","2021-02-22","3862.43","20.29"
"South Africa","2021-02-22","1408.29","143.00"
"Turkey","2021-02-22","8755.43","74.29"
"Jordan","2021-02-22","3812.14","18.86"
"Spain","2021-02-22","5741.43","196.29"
"Bahamas","2021-02-22","12.71","0.14"
"India","2021-02-22","15011.43","107.00"
"Paraguay","2021-02-22","1131.29","18.00"
"Kenya","2021-02-22","236.43","5.29"
"Mayotte","2021-02-22","152.71","1.43"
"Tunisia","2021-02-22","710.29","31.29"
"Afghanistan","2021-02-22","15.71","1.57"
"Belgium","2021-02-22","2399.43","23.57"
"Luxembourg","2021-02-22","191.29","2.00"
"Rwanda","2021-02-22","114.57","2.00"
"Greece","2021-02-22","1559.00","28.00"
"Guinea-Bissau","2021-02-22","21.00","0.14"
"Guatemala","2021-02-22","486.29","17.86"
"Lesotho","2021-02-22","4.29","1.00"
"Nigeria","2021-02-22","552.00","10.57"
"Czechia","2021-02-22","11917.29","167.57"
"Maldives","2021-02-22","146.29","0.29"
"Seychelles","2021-02-22","41.43","0.14"
"Haiti","2021-02-22","25.57","0.43"
"Guadeloupe","2021-02-22","73.29","0.57"
"French Guiana","2021-02-22","14.00","0.29"
"Qatar","2021-02-22","461.43","0.14"
"Mozambique","2021-02-22","543.43","6.14"
"Montenegro","2021-02-22","533.57","8.86"
"Egypt","2021-02-22","612.29","48.71"
"Latvia","2021-02-22","666.71","10.86"
"Nicaragua","2021-02-22","5.14","0.14"
"Suriname","2021-02-22","8.43","0.29"
"Italy","2021-02-22","16004.14","288.71"
"Cameroon","2021-02-22","280.71","4.00"
"Bahrain","2021-02-22","649.14","3.43"
"Dominican Republic","2021-02-22","643.86","9.29"
"Congo","2021-02-22","27.86","0.14"
"Kuwait","2021-02-22","938.29","5.57"
"Eswatini","2021-02-22","34.00","0.71"
"Azerbaijan","2021-02-22","165.71","2.86"
"Oman","2021-02-22","299.14","1.86"
"Jamaica","2021-02-22","270.43","3.71"
"Cote d'Ivoire","2021-02-22","102.43","1.00"
"Serbia","2021-02-22","3189.71","15.43"
"Japan","2021-02-22","1025.14","63.29"
"Lithuania","2021-02-22","527.29","11.00"
"Burkina Faso","2021-02-22","32.43","0.43"
"Mauritania","2021-02-22","14.86","0.86"
"Aruba","2021-02-22","35.86","0.14"
"Colombia","2021-02-22","3970.14","143.86"
"Mexico","2021-02-22","6029.14","635.57"
"Brazil","2021-02-22","53422.00","1152.86"
"Germany","2021-02-22","7989.71","178.43"
"Antigua and Barbuda","2021-02-22","18.29","0.43"
"Uruguay","2021-02-22","737.86","5.43"
"Syria","2021-02-22","55.71","3.86"
"Venezuela","2021-02-22","454.43","4.29"
"Gabon","2021-02-22","144.43","1.14"
"Togo","2021-02-22","83.29","0.29"
"Libya","2021-02-22","447.57","12.29"
"Barbados","2021-02-22","45.29","0.43"
"Switzerland","2021-02-22","1027.29","9.57"
"Saint Vincent and the Grenadines","2021-02-22","8.29","0.29"
"Estonia","2021-02-22","1141.86","7.71"
"Belarus","2021-02-22","1281.29","9.00"
"Nepal","2021-02-22","101.71","1.86"
"World","2021-02-22","379848.00","9165.43"
"Cyprus","2021-02-22","181.57","0.29"
"Netherlands","2021-02-22","4573.86","49.43"
"Russia","2021-02-22","11621.86","404.14"
"High income","2021-02-22","196003.86","4495.14"
"Poland","2021-02-22","9746.57","228.29"
"Bulgaria","2021-02-22","1466.71","46.86"
"Saint Lucia","2021-02-22","70.86","1.00"
"Guam","2021-02-22","2.29","0.14"
"Madagascar","2021-02-22","46.29","0.43"
"Chile","2021-02-22","3653.29","71.71"
"Algeria","2021-02-22","170.86","3.00"
"Croatia","2021-02-22","418.86","13.00"
"South America","2021-02-22","78879.43","2264.43"
"Angola","2021-02-22","40.43","1.14"
"Slovakia","2021-02-22","2277.14","97.71"
"United Arab Emirates","2021-02-22","2917.00","15.00"
"Hungary","2021-02-22","3653.71","96.43"
"Benin","2021-02-22","70.14","0.71"
"Armenia","2021-02-22","236.57","4.00"
"Canada","2021-02-22","2994.43","47.29"
"Denmark","2021-02-22","521.57","3.57"
"Philippines","2021-02-22","2168.00","31.57"
"North Macedonia","2021-02-22","501.00","10.57"
"Belize","2021-02-22","9.43","0.17"
"Oceania","2021-02-22","55.43","0.43"
"Bangladesh","2021-02-22","409.29","8.43"
"Finland","2021-02-22","548.57","4.14"
"Gambia","2021-02-22","22.57","0.86"
"Europe","2021-02-22","138315.29","3003.57"
"South Sudan","2021-02-22","193.29","1.00"
"South Korea","2021-02-22","386.14","6.57"
"El Salvador","2021-02-22","188.57","7.86"
"Portugal","2021-02-22","1347.29","53.86"
"Kyrgyzstan","2021-02-22","49.14","0.86"
"Honduras","2021-02-22","690.57","20.29"
"Ecuador","2021-02-22","1357.43","28.57"
"Indonesia","2021-02-22","7997.29","239.57"
"Panama","2021-02-22","634.57","15.57"
"Moldova","2021-02-22","1230.14","33.71"
"Myanmar","2021-02-22","20.86","0.43"
"Africa","2021-02-22","10581.14","357.29"
"Albania","2021-02-22","1045.71","17.14"
"North America","2021-02-22","80236.86","2682.71"
"Palestine","2021-02-22","1651.86","9.14"
"Morocco","2021-02-22","351.71","9.57"
"Puerto Rico","2021-02-22","185.57","3.86"
"French Polynesia","2021-02-22","5.86","0.29"
"Botswana","2021-02-22","763.43","8.14"
"Malaysia","2021-02-22","2454.71","10.00"
"Yemen","2021-02-22","16.00","1.86"
"Israel","2021-02-22","3689.29","25.29"
"Senegal","2021-02-22","232.14","10.14"
"Asia","2021-02-22","71760.29","857.00"
"Chad","2021-02-22","25.57","1.00"
"Zimbabwe","2021-02-22","41.43","4.43"
"Cape Verde","2021-02-22","46.43","0.57"
"Costa Rica","2021-02-22","380.43","5.29"
"Peru","2021-02-22","6691.43","688.29"
"Sudan","2021-02-22","31.14","3.14"
"Gibraltar","2021-02-22","1.14","0.57"
"Mali","2021-02-22","10.43","0.71"
"Uganda","2021-02-22","20.57","0.14"
"Pakistan","2021-02-22","1278.71","39.14"
"Georgia","2021-02-22","343.29","10.71"
"Upper middle income","2021-02-22","127714.14","3712.14"
"Comoros","2021-02-22","11.57","0.14"
"Andorra","2021-02-22","25.29","0.43"
"Namibia","2021-02-22","194.86","1.86"
"Niger","2021-02-22","5.57","0.71"
"Lebanon","2021-02-22","2772.00","50.71"
"Jordan","2021-03-01","4988.43","32.14"
"Belarus","2021-03-01","1210.43","9.00"
"Eswatini","2021-03-01","24.43","1.14"
"Cuba","2021-03-01","810.57","3.71"
"Nicaragua","2021-03-01","4.86","0.14"
"United States","2021-03-01","60105.57","1492.29"
"Tunisia","2021-03-01","630.43","27.57"
"Hungary","2021-03-01","5345.43","128.43"
"Liechtenstein","2021-03-01","2.86","0.14"
"Ireland","2021-03-01","559.71","13.71"
"Malaysia","2021-03-01","1815.43","6.43"
"Somalia","2021-03-01","150.00","9.00"
"Colombia","2021-03-01","3541.43","111.71"
"Honduras","2021-03-01","587.00","18.57"
"Latvia","2021-03-01","592.14","11.00"
"Mexico","2021-03-01","5741.71","555.57"
"Gabon","2021-03-01","136.14","1.00"
"Gambia","2021-03-01","11.43","0.43"
"Panama","2021-03-01","566.00","12.43"
"Upper middle income","2021-03-01","135460.29","3894.86"
"Iran","2021-03-01","8360.43","87.71"
"Lower middle income","2021-03-01","54669.00","827.86"
"Algeria","2021-03-01","163.43","4.43"
"Angola","2021-03-01","39.00","0.86"
"Malta","2021-03-01","273.71","2.71"
"Belgium","2021-03-01","2333.29","27.43"
"Ethiopia","2021-03-01","995.86","9.43"
"Sweden","2021-03-01","3933.00","19.57"
"Peru","2021-03-01","5990.14","690.29"
"Montenegro","2021-03-01","557.57","7.71"
"Switzerland","2021-03-01","1078.00","8.86"
"Dominican Republic","2021-03-01","521.57","9.86"
"Serbia","2021-03-01","3706.71","16.14"
"Madagascar","2021-03-01","80.43","1.43"
"Brazil","2021-03-01","59085.29","1419.29"
"South Korea","2021-03-01","398.57","4.43"
"Slovakia","2021-03-01","2186.71","92.43"
"Denmark","2021-03-01","513.43","2.71"
"North Macedonia","2021-03-01","625.29","8.29"
"Libya","2021-03-01","717.71","8.86"
"North America","2021-03-01","73106.14","2167.29"
"Morocco","2021-03-01","366.29","8.71"
"Reunion","2021-03-01","101.29","1.00"
"Comoros","2021-03-01","3.57","0.29"
"Guinea","2021-03-01","119.00","0.29"
"Monaco","2021-03-01","10.29","0.29"
"Martinique","2021-03-01","20.00","0.29"
"Bosnia and Herzegovina","2021-03-01","686.86","22.71"
"World","2021-03-01","391173.14","8644.57"
"France","2021-03-01","18201.57","300.00"
"Austria","2021-03-01","2239.86","28.00"
"Sri Lanka","2021-03-01","350.43","4.43"
"Romania","2021-03-01","3690.14","81.00"
"Guatemala","2021-03-01","571.71","13.29"
"India","2021-03-01","16295.43","100.71"
"Kenya","2021-03-01","387.71","2.86"
"United Kingdom","2021-03-01","5929.86","257.29"
"Greece","2021-03-01","2021.00","33.86"
"Qatar","2021-03-01","468.29","0.71"
"Guinea-Bissau","2021-03-01","7.14","0.14"
"Egypt","2021-03-01","584.71","45.00"
"Netherlands","2021-03-01","4490.86","36.57"
"Jamaica","2021-03-01","355.14","4.14"
"Congo","2021-03-01","51.29","0.43"
"Bahamas","2021-03-01","10.57","0.29"
"Burkina Faso","2021-03-01","22.43","0.14"
"Saudi Arabia","2021-03-01","344.71","5.14"
"Bonaire Sint Eustatius and Saba","2021-03-01","7.00","0.14"
"Venezuela","2021-03-01","437.29","4.71"
"Nepal","2021-03-01","82.57","0.43"
"South America","2021-03-01","83692.43","2522.71"
"Poland","2021-03-01","12561.57","210.29"
"United Arab Emirates","2021-03-01","2806.00","13.86"
"Malawi","2021-03-01","85.71","3.71"
"Albania","2021-03-01","867.43","20.14"
"Thailand","2021-03-01","59.86","0.29"
"Bangladesh","2021-03-01","587.71","7.71"
"Africa","2021-03-01","10117.86","307.57"
"El Salvador","2021-03-01","133.43","6.71"
"Moldova","2021-03-01","1392.71","23.86"
"Bulgaria","2021-03-01","1872.14","60.86"
"Palestine","2021-03-01","2028.71","16.57"
"Asia","2021-03-01","76597.29","774.00"
"Gibraltar","2021-03-01","1.14","0.14"
"Costa Rica","2021-03-01","328.43","4.71"
"Pakistan","2021-03-01","1418.71","47.00"
"Andorra","2021-03-01","24.29","0.29"
"Democratic Republic of Congo","2021-03-01","89.71","0.71"
"Afghanistan","2021-03-01","19.00","0.86"
"Finland","2021-03-01","636.29","2.43"
"European Union","2021-03-01","111740.14","1915.57"
"Ukraine","2021-03-01","7625.57","148.57"
"Guyana","2021-03-01","30.86","0.71"
"San Marino","2021-03-01","27.00","0.29"
"Zambia","2021-03-01","544.14","5.00"
"Bolivia","2021-03-01","772.29","25.71"
"Kosovo","2021-03-01","528.14","6.43"
"Slovenia","2021-03-01","772.14","6.57"
"Ghana","2021-03-01","374.86","7.29"
"Iraq","2021-03-01","4421.14","23.57"
"Kazakhstan","2021-03-01","794.86","11.14"
"Low income","2021-03-01","3143.57","54.43"
"South Africa","2021-03-01","1140.14","100.86"
"Uruguay","2021-03-01","769.57","5.14"
"Spain","2021-03-01","4882.86","146.71"
"Equatorial Guinea","2021-03-01","39.43","0.57"
"Norway","2021-03-01","572.86","1.43"
"Sao Tome and Principe","2021-03-01","21.71","0.43"
"Argentina","2021-03-01","6246.14","126.29"
"Turkey","2021-03-01","10866.57","66.00"
"Paraguay","2021-03-01","1172.57","18.00"
"Luxembourg","2021-03-01","169.14","3.14"
"Mayotte","2021-03-01","182.71","3.29"
"Mauritania","2021-03-01","17.43","0.29"
"Czechia","2021-03-01","12451.43","199.71"
"Nigeria","2021-03-01","402.86","8.43"
"Guadeloupe","2021-03-01","70.00","0.57"
"Lesotho","2021-03-01","4.57","2.14"
"Maldives","2021-03-01","143.00","0.29"
"French Guiana","2021-03-01","9.43","0.29"
"Mozambique","2021-03-01","479.86","8.00"
"Antigua and Barbuda","2021-03-01","12.43","1.00"
"Italy","2021-03-01","19848.14","295.86"
"Suriname","2021-03-01","7.57","0.71"
"Cameroon","2021-03-01","467.71","5.29"
"Japan","2021-03-01","1031.29","52.43"
"Oman","2021-03-01","329.71","3.00"
"Azerbaijan","2021-03-01","339.43","3.57"
"Kuwait","2021-03-01","1362.57","6.00"
"Cote d'Ivoire","2021-03-01","329.14","1.14"
"Lithuania","2021-03-01","436.43","10.43"
"Aruba","2021-03-01","29.29","0.57"
"Seychelles","2021-03-01","47.43","0.57"
"Germany","2021-03-01","8358.71","148.71"
"Syria","2021-03-01","56.00","5.00"
"Armenia","2021-03-01","374.43","4.14"
"Togo","2021-03-01","95.71","1.00"
"Barbados","2021-03-01","31.86","0.57"
"Estonia","2021-03-01","1345.00","9.14"
"Cyprus","2021-03-01","330.71","0.14"
"Philippines","2021-03-01","2580.43","25.14"
"Russia","2021-03-01","10956.71","425.43"
"High income","2021-03-01","197500.71","3861.86"
"Saint Lucia","2021-03-01","69.57","1.14"
"Chile","2021-03-01","4152.14","76.00"
"Senegal","2021-03-01","196.71","7.57"
"Croatia","2021-03-01","500.43","10.57"
"Guam","2021-03-01","1.86","0.29"
"Indonesia","2021-03-01","6432.57","157.14"
