"continent","location","max","population","cumulative_vaccination_rate_percentage"
"Asia","Mongolia","2272965","3398373","66.88"
"Asia","Myanmar","34777314","54179312","64.19"
"Asia","Nepal","27774365","30547586","90.92"
"Asia","Northern Cyprus","301673","382836","78.80"
"Asia","Oman","3257365","4576300","71.18"
"Asia","Pakistan","165537462","235824864","70.20"
"Asia","Palestine","2012767","5250076","38.34"
"Asia","Philippines","78480056","115559008","67.91"
"Asia","Qatar","2852117","2695131","105.82"
"Asia","Saudi Arabia","27041364","36408824","74.27"
"Asia","Singapore","5160551","5637022","91.55"
"Asia","South Korea","44789628","51815808","86.44"
"Asia","Sri Lanka","17143761","21832150","78.53"
"Asia","Syria","3295630","22125242","14.90"
"Asia","Taiwan","21885289","23893396","91.60"
"Asia","Tajikistan","5311967","9952789","53.37"
"Asia","Thailand","57005497","71697024","79.51"
"Asia","Timor","883561","1341298","65.87"
"Asia","Turkey","57941051","85341248","67.89"
"Asia","Turkmenistan","3359468","6430777","52.24"
"Asia","United Arab Emirates","9991089","9441138","105.83"
"Asia","Uzbekistan","21717290","34627648","62.72"
"Asia","Vietnam","90245924","98186856","91.91"
"Asia","Yemen","1032545","33696612","3.06"
"Europe","Albania","1347760","2842318","47.42"
"Europe","Andorra","57910","79843","72.53"
"Europe","Austria","6899577","8939617","77.18"
"Europe","Belarus","6536392","9534956","68.55"
"Europe","Belgium","9266425","11655923","79.50"
"Europe","Bosnia and Herzegovina","943394","3233530","29.18"
"Europe","Bulgaria","2107690","6781955","31.08"
"Europe","Croatia","2321584","4030361","57.60"
"Europe","Cyprus","671193","896007","74.91"
"Europe","Czechia","6976531","10493990","66.48"
"Europe","Denmark","4776585","5882259","81.20"
"Europe","England","45417090","56550000","80.31"
"Europe","Estonia","869322","1326064","65.56"
"Europe","Faeroe Islands","41715","53117","78.53"
"Europe","Finland","4524418","5540745","81.66"
"Europe","France","54672934","67813000","80.62"
"Europe","Germany","64876299","83369840","77.82"
"Europe","Gibraltar","42175","32677","129.07"
"Europe","Greece","7935059","10384972","76.41"
"Europe","Guernsey","54223","63329","85.62"
"Europe","Hungary","6420813","9967304","64.42"
"Europe","Iceland","309770","372903","83.07"
"Europe","Ireland","4108460","5023108","81.79"
"Europe","Isle of Man","69560","84534","82.29"
"Europe","Italy","50894249","59037472","86.21"
"Europe","Jersey","84365","110796","76.14"
"Europe","Kosovo","906858","1782115","50.89"
"Europe","Latvia","1346184","1850654","72.74"
"Europe","Liechtenstein","26771","39355","68.02"
"Europe","Lithuania","1957132","2750058","71.17"
"Europe","Luxembourg","481957","647601","74.42"
