"continent","country","total_cases_reported","total_population","population_infected_percentage"
"North America","Aruba","44114","106459","41.44"
"Europe","Belgium","4793425","11655923","41.12"
NULL,"European Union","183867312","450146793","40.85"
"Africa","Saint Helena","2166","5401","40.10"
"North America","Saint Martin (French part)","12300","31816","38.66"
"Oceania","Marshall Islands","16081","41593","38.66"
"Oceania","Niue","747","1952","38.27"
"North America","Barbados","107466","281646","38.16"
"Europe","Serbia","2534886","6871547","36.89"
"Europe","United Kingdom","24581706","67508936","36.41"
"Asia","Maldives","186435","523798","35.59"
"North America","Puerto Rico","1116823","3252412","34.34"
"Europe","Ireland","1710302","5023108","34.05"
NULL,"High income","420700805","1250514600","33.64"
NULL,"Europe","249034855","744807803","33.44"
"Oceania","Palau","5999","18084","33.17"
"Europe","Slovakia","1866470","5643455","33.07"
"South America","French Guiana","98041","304568","32.19"
"North America","Montserrat","1403","4413","31.79"
"Europe","Croatia","1272886","4030361","31.58"
NULL,"Oceania","13952488","45038860","30.98"
"North America","United States","103266404","338289856","30.53"
"South America","Uruguay","1037893","3422796","30.32"
"Oceania","Guam","51179","171783","29.79"
"Asia","Mongolia","1007970","3398373","29.66"
"Oceania","Wallis and Futuna","3427","11596","29.55"
"North America","Bermuda","18860","64207","29.37"
"Europe","Spain","13825052","47558632","29.07"
"Oceania","Northern Mariana Islands","13839","49574","27.92"
"Oceania","New Caledonia","80058","289959","27.61"
"Europe","Norway","1483222","5434324","27.29"
"Asia","Japan","33720739","123951696","27.20"
"South America","Chile","5283908","19603736","26.95"
"Europe","Finland","1473603","5540745","26.60"
"Europe","Sweden","2706122","10549349","25.65"
"Oceania","French Polynesia","78488","306292","25.63"
"North America","United States Virgin Islands","24919","99479","25.05"
"North America","Sint Maarten (Dutch part)","11030","44192","24.96"
"North America","Anguilla","3904","15877","24.59"
"Oceania","Tuvalu","2779","11335","24.52"
"North America","Curacao","45798","191173","23.96"
"North America","Costa Rica","1228659","5180836","23.72"
"North America","Panama","1036733","4408582","23.52"
"North America","British Virgin Islands","7305","31332","23.31"
"Africa","Mauritius","301096","1299478","23.17"
"Oceania","Micronesia (country)","26080","114178","22.84"
"Asia","Lebanon","1236702","5489744","22.53"
"Europe","Malta","118524","533293","22.22"
"Europe","Hungary","2201355","9967304","22.09"
"South America","Argentina","10044957","45510324","22.07"
"North America","Dominica","15760","72758","21.66"
"North America","Greenland","11971","56494","21.19"
NULL,"North America","123963377","600323657","20.65"
"Asia","Turkey","17004677","85341248","19.93"
"Europe","Bulgaria","1304393","6781955","19.23"
"Europe","Moldova","620253","3272993","18.95"
"Oceania","American Samoa","8329","44295","18.80"
"Asia","Qatar","506323","2695131","18.79"
"North America","Belize","70782","405285","17.46"
"South America","Brazil","37449418","215313504","17.39"
"Europe","Romania","3393902","19659270","17.26"
"North America","Saint Lucia","30052","179872","16.71"
"Europe","North Macedonia","348142","2093606","16.63"
"Europe","Poland","6513979","39857144","16.34"
"Asia","Armenia","449062","2780472","16.15"
"Europe","Russia","22858855","144713312","15.80"
"Oceania","Tonga","16814","106867","15.73"
"North America","Grenada","19693","125459","15.70"
NULL,"South America","68484239","436816679","15.68"
"Asia","Kuwait","665741","4268886","15.60"
"Asia","Jordan","1746997","11285875","15.48"
"Europe","Kosovo","273852","1782115","15.37"
"Asia","Malaysia","5071840","33938216","14.94"
